2025-08-12 20:22:21.356 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (7).txt.locked
2025-08-12 20:22:21.357 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (7).txt.locked
2025-08-12 20:22:21.359 [COMUM] -> Renomeado: C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (8).txt -> C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (8).txt.locked
2025-08-12 20:22:21.368 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo
2025-08-12 20:22:21.372 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (8).txt.locked
2025-08-12 20:22:21.375 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (8).txt.locked
2025-08-12 20:22:21.387 [COMUM] -> Renomeado: C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (9).txt -> C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (9).txt.locked
2025-08-12 20:22:21.389 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo
2025-08-12 20:22:21.391 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (9).txt.locked
2025-08-12 20:22:21.405 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (9).txt.locked
2025-08-12 20:22:21.407 [COMUM] -> Renomeado: C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia.txt -> C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia.txt.locked
2025-08-12 20:22:21.411 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo
2025-08-12 20:22:21.416 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia.txt.locked
2025-08-12 20:22:21.418 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia.txt.locked
2025-08-12 20:22:21.420 [COMUM] -> Renomeado: C:\Users\samue\Documents\pastaAlvo\iubhhikj.txt -> C:\Users\samue\Documents\pastaAlvo\iubhhikj.txt.locked
2025-08-12 20:22:21.422 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo
2025-08-12 20:22:21.424 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj.txt.locked
2025-08-12 20:22:21.425 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj.txt.locked
2025-08-12 20:28:13.344 [COMUM] -> Criado:    C:\Users\samue\Documents\pastaAlvo\iubhhikj.txt - Copia.locked
2025-08-12 20:28:13.352 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj.txt - Copia.locked
2025-08-12 20:28:13.358 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj.txt - Copia.locked
2025-08-12 20:28:13.359 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo
2025-08-12 20:28:13.363 [COMUM] -> Criado:    C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (2).txt - Copia.locked
2025-08-12 20:28:13.364 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (2).txt - Copia.locked
2025-08-12 20:28:13.367 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (2).txt - Copia.locked
2025-08-12 20:28:13.372 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo
2025-08-12 20:28:13.375 [COMUM] -> Criado:    C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (3).txt - Copia.locked
2025-08-12 20:28:13.382 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (3).txt - Copia.locked
2025-08-12 20:28:13.384 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (3).txt - Copia.locked
2025-08-12 20:28:13.386 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo
